Ordsol Ordpas Ordtp Randsol Randpas Randtp
954.3399999999998 66 118 955.3219999999999 43.0 26
1028.105000000001 52 9 1029.1050000000002 41.0 10
1025.2850000000003 61 24 1024.977 50.0 18
905.3750000000003 55 10 906.318 46.0 18
855.3650000000013 62 24 855.4560000000001 56.0 26
981.7750000000005 74 53 983.0200000000001 47.0 33
992.8800000000007 63 32 992.0140000000005 45.0 29
904.7600000000008 48 13 907.0980000000002 36.0 11
848.5149999999999 50 14 850.2849999999995 40.0 11
982.8849999999992 80 24 982.97 52.0 22
985.3599999999988 63 13 987.1909999999995 39.0 11
847.8949999999998 62 15 848.2529999999995 47.0 15
1063.8200000000018 53 11 1064.1540000000005 45.0 14
1035.234999999998 54 7 1036.2469999999998 44.0 9
1203.8100000000004 64 23 1206.0220000000002 48.0 28
874.489999999999 65 19 875.019 46.0 13
991.4050000000016 61 14 990.9399999999996 44.0 14
996.8899999999992 58 13 994.9479999999996 48.0 14
1034.7150000000001 56 9 1035.9889999999996 41.0 9
1043.9799999999993 65 13 1043.9840000000008 46.0 13
976.3249999999999 63 14 974.4230000000005 41.0 11
1165.834999999999 53 21 1165.3319999999999 45.0 21
972.7449999999998 55 29 972.96 46.0 38
947.1449999999998 72 19 947.0790000000003 46.0 11
1007.1899999999994 47 9 1009.3510000000002 46.0 14
