K LAMBDA PRECIO PASOS TIEMPO
10 1.0E-4 1117.924 20005 15
10 0.001 1077.8710000000008 20005 8
10 0.01 1076.1590000000006 20005 6
10 0.1 1077.2980000000002 20005 4

10 1.0E-4 1060.0660000000012 20005 4
10 0.001 1004.2010000000013 20005 5
10 0.01 1003.069000000001 20005 3
10 0.1 1003.2200000000015 20005 4

10 1.0E-4 1032.7379999999998 20005 4
10 0.001 977.2459999999994 20005 3
10 0.01 975.287999999999 20005 3
10 0.1 976.2519999999997 20005 4

10 1.0E-4 987.8379999999979 20005 4
10 0.001 930.0299999999995 20005 4
10 0.01 927.2779999999993 20005 7
10 0.1 927.7949999999986 20005 3

10 1.0E-4 1063.6560000000006 20005 3
10 0.001 1025.119000000001 20005 3
10 0.01 1021.9830000000004 20005 2
10 0.1 1021.8790000000006 20005 3

10 1.0E-4 1096.157999999999 20005 3
10 0.001 1051.5439999999994 20005 3
10 0.01 1050.7669999999987 20005 2
10 0.1 1050.7779999999989 20005 3

10 1.0E-4 1066.7839999999999 20005 3
10 0.001 1021.9099999999995 20005 3
10 0.01 1022.924 20005 3
10 0.1 1022.9619999999995 20005 4

10 1.0E-4 1034.9799999999996 20005 4
10 0.001 991.2800000000004 20005 4
10 0.01 989.0459999999994 20005 3
10 0.1 988.6619999999999 20005 4

10 1.0E-4 1073.0889999999995 20005 4
10 0.001 1017.6190000000003 20005 3
10 0.01 1014.577 20005 3
10 0.1 1016.8270000000005 20005 3

10 1.0E-4 1203.5540000000003 20005 2
10 0.001 1139.0089999999998 20005 2
10 0.01 1138.1690000000003 20005 3
10 0.1 1137.25 20005 3

10 1.0E-4 1162.8559999999993 20005 4
10 0.001 1118.8029999999997 20005 3
10 0.01 1116.5269999999991 20005 3
10 0.1 1117.1079999999997 20005 4

10 1.0E-4 1019.9220000000007 20005 4
10 0.001 974.2130000000001 20005 3
10 0.01 973.4460000000003 20005 3
10 0.1 974.2230000000002 20005 3

10 1.0E-4 993.0420000000001 20005 3
10 0.001 939.728999999999 20005 3
10 0.01 935.7940000000002 20005 2
10 0.1 935.9429999999999 20005 3

10 1.0E-4 982.2820000000004 20005 3
10 0.001 932.2729999999995 20005 2
10 0.01 929.7659999999996 20005 2
10 0.1 930.2979999999998 20005 3

10 1.0E-4 1087.4869999999996 20005 3
10 0.001 1046.3059999999994 20005 3
10 0.01 1045.3979999999997 20005 3
10 0.1 1044.1409999999994 20005 4

10 1.0E-4 961.062000000001 20005 3
10 0.001 905.7270000000001 20005 3
10 0.01 903.6779999999993 20005 3
10 0.1 903.2609999999993 20005 3

10 1.0E-4 1122.4200000000005 20005 4
10 0.001 1067.4060000000004 20005 3
10 0.01 1064.9360000000004 20005 3
10 0.1 1066.0090000000007 20005 4

10 1.0E-4 893.7219999999998 20005 4
10 0.001 862.1420000000002 20005 3
10 0.01 860.1510000000001 20005 3
10 0.1 860.1439999999999 20005 3

10 1.0E-4 974.8260000000006 20005 3
10 0.001 927.0839999999996 20005 2
10 0.01 924.5580000000003 20005 2
10 0.1 925.3049999999997 20005 3

10 1.0E-4 1121.159 20005 3
10 0.001 1075.8529999999998 20005 3
10 0.01 1074.1079999999997 20005 2
10 0.1 1072.6279999999992 20005 3

10 1.0E-4 1028.597 20005 2
10 0.001 977.7400000000004 20005 2
10 0.01 977.414 20005 2
10 0.1 978.6169999999998 20005 3

10 1.0E-4 1028.2640000000004 20005 2
10 0.001 997.0130000000006 20005 3
10 0.01 995.3100000000004 20005 2
10 0.1 995.4690000000004 20005 3

10 1.0E-4 1029.7800000000018 20005 2
10 0.001 987.6030000000007 20005 3
10 0.01 984.5400000000012 20005 2
10 0.1 983.8630000000006 20005 3

10 1.0E-4 1030.5900000000001 20005 3
10 0.001 980.7140000000005 20005 2
10 0.01 978.2009999999998 20005 2
10 0.1 979.7279999999998 20005 3

10 1.0E-4 1016.6099999999994 20005 2
10 0.001 960.9189999999996 20005 2
10 0.01 957.1769999999991 20005 2
10 0.1 957.2979999999995 20005 3

