K LAMBDA PRECIO PASOS TIEMPO
5 0.001 991.9940000000013 7005 10
50 0.001 1023.9950000000015 7005 7
500 0.001 1017.743000000001 7005 3
5000 0.001 1022.5500000000017 7005 5
50000 0.001 1021.3600000000017 7005 1

5 0.001 954.5070000000005 7005 1
50 0.001 983.7320000000009 7005 1
500 0.001 985.1210000000004 7005 1
5000 0.001 988.9370000000005 7005 1
50000 0.001 985.3990000000003 7005 1

5 0.001 1036.4309999999994 7005 1
50 0.001 1094.3609999999985 7005 1
500 0.001 1096.8509999999987 7005 1
5000 0.001 1102.094999999999 7005 1
50000 0.001 1098.1069999999995 7005 1

5 0.001 1063.0040000000001 7005 2
50 0.001 1083.355 7005 1
500 0.001 1094.2880000000005 7005 1
5000 0.001 1089.8150000000003 7005 1
50000 0.001 1087.305 7005 1

5 0.001 958.1620000000003 7005 1
50 0.001 985.5870000000002 7005 1
500 0.001 986.9159999999998 7005 1
5000 0.001 987.3889999999996 7005 1
50000 0.001 985.1679999999997 7005 3

5 0.001 971.528999999999 7005 1
50 0.001 1019.7109999999997 7005 1
500 0.001 1022.4789999999997 7005 1
5000 0.001 1028.0169999999996 7005 0
50000 0.001 1023.4839999999997 7005 1

5 0.001 968.1199999999997 7005 0
50 0.001 1004.9220000000005 7005 0
500 0.001 1009.086 7005 0
5000 0.001 1015.3960000000006 7005 1
50000 0.001 1014.3910000000008 7005 1

5 0.001 1163.2859999999996 7005 1
50 0.001 1210.3820000000005 7005 1
500 0.001 1211.2789999999993 7005 1
5000 0.001 1218.8949999999998 7005 1
50000 0.001 1208.6859999999997 7005 1

5 0.001 1082.9950000000008 7005 1
50 0.001 1135.8970000000008 7005 0
500 0.001 1146.5440000000006 7005 0
5000 0.001 1139.572000000001 7005 0
50000 0.001 1136.672000000001 7005 0

5 0.001 1122.0879999999993 7005 1
50 0.001 1152.5439999999999 7005 1
500 0.001 1154.7340000000002 7005 1
5000 0.001 1159.5099999999998 7005 1
50000 0.001 1156.766 7005 1

5 0.001 1042.8929999999998 7005 1
50 0.001 1076.1140000000007 7005 1
500 0.001 1081.429 7005 1
5000 0.001 1078.3809999999999 7005 1
50000 0.001 1080.6399999999994 7005 0

5 0.001 997.0930000000004 7005 0
50 0.001 1045.3700000000003 7005 0
500 0.001 1059.618 7005 5
5000 0.001 1056.663 7005 0
50000 0.001 1063.902000000001 7005 1

5 0.001 1135.8899999999996 7005 0
50 0.001 1197.9620000000002 7005 0
500 0.001 1201.8299999999995 7005 1
5000 0.001 1201.0109999999993 7005 1
50000 0.001 1188.821 7005 1

5 0.001 1012.1240000000004 7005 1
50 0.001 1043.8120000000004 7005 1
500 0.001 1063.9880000000007 7005 0
5000 0.001 1062.4360000000004 7005 0
50000 0.001 1056.7880000000005 7005 0

5 0.001 996.1600000000002 7005 1
50 0.001 1031.0080000000007 7005 1
500 0.001 1032.682000000001 7005 1
5000 0.001 1033.5220000000013 7005 1
50000 0.001 1032.6410000000005 7005 1

5 0.001 918.7189999999994 7005 1
50 0.001 941.7139999999996 7005 1
500 0.001 950.8999999999996 7005 1
5000 0.001 943.5419999999995 7005 1
50000 0.001 948.2719999999996 7005 1

5 0.001 1051.3729999999985 7005 1
50 0.001 1082.9259999999983 7005 1
500 0.001 1084.916999999999 7005 1
5000 0.001 1083.389999999998 7005 1
50000 0.001 1084.8829999999984 7005 1

5 0.001 1087.1589999999999 7005 1
50 0.001 1131.223 7005 1
500 0.001 1136.8079999999995 7005 1
5000 0.001 1143.4579999999999 7005 1
50000 0.001 1143.1839999999997 7005 1

5 0.001 873.3110000000004 7005 1
50 0.001 908.5649999999998 7005 1
500 0.001 920.05 7005 0
5000 0.001 928.2459999999999 7005 0
50000 0.001 927.0870000000002 7005 1

5 0.001 951.0189999999993 7005 0
50 0.001 974.284 7005 0
500 0.001 976.4369999999999 7005 0
5000 0.001 977.1259999999999 7005 1
50000 0.001 975.4730000000002 7005 1

5 0.001 873.2039999999997 7005 0
50 0.001 916.8509999999999 7005 1
500 0.001 922.8919999999996 7005 0
5000 0.001 920.6809999999998 7005 0
50000 0.001 919.8319999999998 7005 1

5 0.001 981.4109999999991 7005 0
50 0.001 1049.7389999999998 7005 0
500 0.001 1043.4509999999996 7005 0
5000 0.001 1042.8069999999989 7005 0
50000 0.001 1046.3359999999993 7005 0

5 0.001 1097.816999999999 7005 0
50 0.001 1131.6039999999998 7005 1
500 0.001 1142.1589999999992 7005 0
5000 0.001 1137.807999999999 7005 0
50000 0.001 1134.828999999999 7005 0

5 0.001 838.65 7005 0
50 0.001 883.9559999999999 7005 0
500 0.001 900.6760000000002 7005 0
5000 0.001 899.5619999999999 7005 0
50000 0.001 900.3349999999998 7005 0

5 0.001 990.6399999999994 7005 0
50 0.001 1016.3609999999992 7005 0
500 0.001 1018.5079999999991 7005 0
5000 0.001 1022.0969999999992 7005 1
50000 0.001 1020.5639999999992 7005 2

