K LAMBDA PRECIO PASOS TIEMPO
5 1.0E-4 982.5590000000014 7005 11
50 1.0E-4 1026.193 7005 2
500 1.0E-4 1024.8489999999997 7005 2
5000 1.0E-4 1027.2509999999995 7005 2
50000 1.0E-4 1029.4479999999999 7005 1
5 0.001 961.2970000000001 7005 1
50 0.001 1011.2089999999996 7005 1
500 0.001 1040.6429999999998 7005 1
5000 0.001 1029.8719999999994 7005 1
50000 0.001 1030.3259999999998 7005 1
5 0.01 937.3389999999994 7005 1
50 0.01 938.461 7005 1
500 0.01 944.7669999999998 7005 1
5000 0.01 946.7700000000001 7005 1
50000 0.01 960.1299999999999 7005 3
5 0.1 938.2309999999998 7005 1
50 0.1 940.74 7005 1
500 0.1 935.2139999999999 7005 1
5000 0.1 936.0389999999998 7005 1
50000 0.1 938.6479999999999 7005 1

5 1.0E-4 919.3469999999995 7005 1
50 1.0E-4 949.9370000000001 7005 1
500 1.0E-4 949.0659999999996 7005 1
5000 1.0E-4 950.2659999999994 7005 1
50000 1.0E-4 953.4909999999996 7005 1
5 0.001 905.3579999999998 7005 1
50 0.001 941.0039999999996 7005 1
500 0.001 943.8959999999992 7005 1
5000 0.001 950.5199999999992 7005 1
50000 0.001 950.3189999999997 7005 1
5 0.01 880.7269999999993 7005 1
50 0.01 881.1939999999995 7005 1
500 0.01 882.8499999999995 7005 1
5000 0.01 891.8839999999994 7005 2
50000 0.01 904.8969999999996 7005 1
5 0.1 881.7879999999998 7005 1
50 0.1 882.5019999999998 7005 4
500 0.1 883.5389999999998 7005 1
5000 0.1 881.1969999999998 7005 1
50000 0.1 882.4949999999993 7005 1

5 1.0E-4 937.9869999999999 7005 1
50 1.0E-4 957.3660000000002 7005 1
500 1.0E-4 964.1859999999997 7005 0
5000 1.0E-4 964.0450000000001 7005 0
50000 1.0E-4 965.0479999999995 7005 0
5 0.001 921.7419999999998 7005 0
50 0.001 962.3960000000003 7005 0
500 0.001 959.641 7005 0
5000 0.001 960.007 7005 0
50000 0.001 961.2670000000004 7005 0
5 0.01 895.8709999999995 7005 0
50 0.01 897.8439999999998 7005 0
500 0.01 898.5419999999992 7005 0
5000 0.01 906.2209999999998 7005 0
50000 0.01 915.052 7005 1
5 0.1 896.3179999999999 7005 1
50 0.1 896.8109999999995 7005 1
500 0.1 897.8520000000001 7005 1
5000 0.1 896.9119999999999 7005 1
50000 0.1 897.2179999999998 7005 1

5 1.0E-4 977.679999999999 7005 0
50 1.0E-4 1011.603999999999 7005 1
500 1.0E-4 1018.875999999999 7005 0
5000 1.0E-4 1008.4009999999987 7005 0
50000 1.0E-4 1012.8229999999988 7005 0
5 0.001 955.2099999999991 7005 0
50 0.001 1010.8959999999983 7005 1
500 0.001 1002.2829999999988 7005 0
5000 0.001 1014.9909999999988 7005 0
50000 0.001 1014.0389999999995 7005 0
5 0.01 935.1639999999995 7005 0
50 0.01 935.712999999999 7005 0
500 0.01 938.2469999999994 7005 0
5000 0.01 937.4599999999991 7005 0
50000 0.01 949.216999999998 7005 1
5 0.1 936.604999999999 7005 1
50 0.1 934.586999999999 7005 1
500 0.1 934.7309999999995 7005 1
5000 0.1 935.0179999999988 7005 1
50000 0.1 934.082999999999 7005 1

5 1.0E-4 1043.3170000000007 7005 1
50 1.0E-4 1080.7050000000006 7005 1
500 1.0E-4 1088.2460000000003 7005 1
5000 1.0E-4 1081.3870000000009 7005 3
50000 1.0E-4 1080.0770000000007 7005 1
5 0.001 1013.4920000000009 7005 1
50 0.001 1078.6040000000005 7005 1
500 0.001 1085.6540000000007 7005 2
5000 0.001 1074.5870000000002 7005 1
50000 0.001 1088.1760000000008 7005 1
5 0.01 988.1890000000003 7005 1
50 0.01 990.6340000000004 7005 8
500 0.01 994.2240000000007 7005 1
5000 0.01 1004.0000000000007 7005 0
